YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,TEMPERATURE,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LOCATION,HUMIDITY
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,0,0,29,Kensington,16.129999
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,0,0,29,Kensington,36.549999
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,11,0,29,Kensington,16.35
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,11,0,29,Kensington,30.35
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,22,0,29,Kensington,26.08
2019,8,16,0,0,29,Kensington,63.0,2019,8,16,22,0,29,Kensington,28.59
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,0,0,58,Kensington,17.48
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,0,0,58,Kensington,35.02
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,11,0,58,Kensington,17.15
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,11,0,58,Kensington,28.6
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,22,0,58,Kensington,24.93
2019,8,16,0,0,58,Kensington,61.240002,2019,8,16,22,0,58,Kensington,29.309999
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,0,0,87,Kensington,18.84
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,0,0,87,Kensington,35.439999
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,11,0,87,Kensington,18.93
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,11,0,87,Kensington,28.33
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,22,0,87,Kensington,24.709999
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,22,0,87,Kensington,30.299999
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,33,0,87,Kensington,29.02
2019,8,16,0,0,87,Kensington,62.02,2019,8,16,33,0,87,Kensington,29.129999
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,0,46,0,Kensington,16.99
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,0,46,0,Kensington,36.84
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,11,46,0,Kensington,18.15
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,11,46,0,Kensington,27.24
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,22,46,0,Kensington,26.530001
2019,8,16,0,46,0,Kensington,61.060001,2019,8,16,22,46,0,Kensington,31.709999
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,0,46,29,Kensington,16.33
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,0,46,29,Kensington,35.369999
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,11,46,29,Kensington,19.530001
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,11,46,29,Kensington,28.389999
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,22,46,29,Kensington,28.33
2019,8,16,0,46,29,Kensington,59.799999,2019,8,16,22,46,29,Kensington,30.389999
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,0,46,58,Kensington,18.02
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,0,46,58,Kensington,35.77
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,11,46,58,Kensington,19.91
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,11,46,58,Kensington,28.6
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,22,46,58,Kensington,29.51
2019,8,16,0,46,58,Kensington,58.200001,2019,8,16,22,46,58,Kensington,30.110001
