1	18467	72
20	19169	69
38	29358	96
24	5705	67
1	16827	63
11	2995	24
27	5436	71
4	3902	52
12	12382	49
36	19718	99
7	21726	25
18	1869	15
27	26299	67
14	28703	76
2	30333	99
24	15141	35
13	6868	95
4	32662	33
37	12859	37
21	27529	71
36	3035	71
2	288	8
0	8942	74
8	27446	70
10	6729	29
30	15006	94
33	3548	35
23	24084	57
36	11840	17
16	13931	48
24	32439	83
3	5537	25
38	2082	2
21	4833	7
39	29658	80
10	13977	84
33	22386	72
25	26924	84
30	5829	12
13	5097	49
26	13290	71
36	22355	22
15	15574	92
12	27350	39
21	21724	28
30	31107	93
7	11337	4
7	27753	81
25	8909	91
38	24221	4
22	24946	34
30	16413	80
20	32591	77
15	17410	97
24	20537	35
3	27595	1
2	24350	90
36	9374	11
36	24021	78
39	19668	42
1	4734	53
39	26418	62
20	3788	48
27	3728	46
8	22483	31
21	14310	52
13	9514	68
16	18935	79
0	5249	56
36	22798	3
24	11008	87
9	14989	79
35	20485	63
23	30523	72
34	9503	75
0	13458	53
20	19796	52
1	19589	93
9	27157	70
22	18538	71
38	24179	10
17	7958	30
15	22888	67
31	16202	8
32	20055	27
6	26362	38
35	28433	74
22	23844	2
1	31998	20
11	10021	43
37	28476	16
29	5075	6
0	2510	96
29	17861	43
1	9789	4
23	5002	81
22	10285	20
26	28617	22
32	30932	28
34	25721	19
16	31329	45
12	21425	51
34	16549	68
32	30145	82
38	3753	80
23	16279	39
7	12529	26
37	19866	21
33	23195	65
16	28286	46
8	16282	32
14	18114	86
36	20671	29
23	4313	14
25	20053	3
8	1832	38
33	27756	41
38	23646	5
1	4144	67
22	7129	40
15	20450	63
26	12044	45
12	26439	83
24	26154	18
25	20649	56
33	4474	45
8	14018	1
25	17958	18
2	3625	15
14	9314	69
14	25874	31
39	11833	93
7	28297	44
17	17773	51
3	2668	22
25	3102	97
13	7627	55
19	30527	100
23	1924	14
12	13061	41
3	27432	32
33	22725	2
12	142	52
6	13064	22
27	8360	92
14	14270	82
35	30833	16
0	18896	21
5	12550	39
14	2695	10
19	2125	13
14	22658	42
11	22466	32
33	23851	32
18	28464	10
32	2800	8
20	1926	21
37	32170	14
16	30227	24
38	7164	59
2	17086	73
7	29577	31
25	25627	74
8	25423	38
22	14962	22
36	3737	30
35	32525	52
20	6202	36
30	20326	24
11	6411	95
33	21520	96
4	30188	48
20	20851	78
29	30900	38
38	17578	83
7	11477	89
18	6439	81
0	19357	1
37	5108	4
7	19801	24
20	22428	65
24	19405	76
31	28704	8
36	6072	60
23	14485	53
16	1626	65
6	13357	47
31	23869	71
16	13022	24
32	12717	11
25	24041	82
9	24229	20
39	8932	76
15	12053	95
24	29734	89
12	21457	27
12	2963	82
3	911	20
27	22848	29
18	2223	23
34	6511	16
15	21459	49
21	17870	10
14	15205	69
10	17398	59
21	12193	8
37	26534	1
33	10176	51
2	10548	24
20	14413	77
15	24855	12
22	27611	72
24	32678	35
3	28296	48
0	9313	67
32	12818	4
17	14932	34
15	13169	96
0	26488	1
10	19497	64
30	15145	62
34	18651	76
4	11258	32
39	11192	30
24	12181	21
29	23775	4
12	5997	76
36	25561	14
27	29541	71
0	27813	86
1	6077	15
3	8213	55
24	5601	61
39	2670	67
27	4084	76
26	15498	23
7	23847	82
23	21221	39
26	2363	21
11	27489	60
4	25542	44
33	7591	38
18	9232	43
5	4975	24
23	11422	90
7	13584	13
11	17864	87
35	21545	28
26	18678	52
22	8519	47
9	15944	37
20	23245	56
38	27870	6
3	21132	30
32	25087	88
3	29901	34
23	3527	86
9	14015	10
28	21543	97
8	2943	12
9	26463	100
1	1588	30
8	32060	11
38	29954	82
26	690	71
3	21430	67
28	27067	92
23	18035	7
25	7038	56
29	11224	93
3	3359	38
6	4944	7
38	32726	60
25	20355	95
29	9496	0
35	17964	11
35	17913	83
36	21948	24
26	14606	14
29	32404	39
26	29812	84
13	16565	78
16	29141	9
34	8256	87
16	30838	80
35	21015	20
30	17841	81
11	32637	45
10	1650	6
34	10893	51
16	13452	70
22	22233	0
23	16634	43
16	148	14
37	4213	41
28	29200	72
38	16858	12
35	31361	13
23	3676	50
29	14902	26
9	24948	70
13	30674	99
2	6923	94
9	3878	59
8	22619	34
3	21945	85
24	12392	62
33	6698	34
2	5938	49
10	31461	73
28	9961	20
13	1515	19
17	28869	58
20	13971	4
37	16215	12
15	18330	9
12	29288	4
34	16085	5
4	24774	98
15	25951	77
35	1679	41
18	23073	81
17	18132	60
9	26113	9
21	15790	6
3	28	35
18	7200	21
5	21974	61
13	22867	95
15	32168	19
36	15629	67
38	3309	47
6	30080	16
9	26667	13
39	7864	30
5	8826	49
36	27726	83
7	27681	67
20	5686	62
22	14721	4
29	20415	25
33	17124	4
25	31762	42
11	4806	47
38	5602	92
27	23481	2
16	26630	76
9	4084	23
10	21293	100
32	1054	95
28	248	17
32	5131	16
39	7958	78
24	6995	42
29	7479	58
23	27918	59
19	32498	4
36	7462	70
38	12022	35
32	13037	87
7	29458	37
7	4098	55
12	14600	6
39	18352	46
2	540	35
15	8762	73
16	18397	7
17	25828	14
16	24230	5
5	658	27
0	10940	68
27	25162	39
35	792	40
34	16398	17
34	26946	79
9	8638	90
35	24515	7
35	15615	25
34	12570	97
24	19557	76
1	30524	25
29	330	7
30	14333	99
30	19737	75
17	1278	71
36	30714	86
31	19949	46
25	13337	5
17	2623	81
10	25608	66
1	7085	62
13	28652	13
36	23826	15
12	6249	96
14	18819	34
11	1941	89
19	5565	68
25	16216	39
15	2609	55
6	16893	15
29	30300	0
13	15589	31
12	17968	88
31	26268	34
30	10422	70
19	30910	19
22	25391	42
4	874	51
22	28255	16
34	6972	56
2	25547	64
29	25605	97
34	7950	82
34	2481	2
32	23439	96
32	9762	8
8	4415	90
23	11759	73
4	29486	77
38	5945	41
6	18700	55
12	21787	50
36	30974	13
21	18283	63
11	2376	0
28	12723	4
18	14776	29
31	32182	20
10	8925	82
6	19677	11
3	7534	22
28	31068	74
36	7783	62
7	29426	14
17	17612	18
27	11408	91
28	7185	39
37	26443	2
21	8850	80
31	23650	71
32	1454	12
1	27465	67
33	19793	50
32	20972	4
21	28442	26
37	25770	96
4	1381	26
23	2237	44
19	16595	70
7	12042	0
22	11058	48
7	1670	6
11	2258	42
20	25783	76
22	8610	28
8	18434	84
38	3503	20
25	10938	63
17	22750	31
38	28458	35
23	32756	1
38	19489	43
5	32075	11
26	7833	78
10	26048	40
12	12433	4
6	1735	14
39	11837	76
22	7328	62
9	31244	79
8	9252	32
32	9535	37
24	3497	13
