18467	72
19169	69
29358	96
5705	67
16827	63
2995	24
5436	71
3902	52
12382	49
19718	99
21726	25
1869	15
26299	67
28703	76
30333	99
15141	35
6868	95
32662	33
12859	37
27529	71
3035	71
288	8
8942	74
27446	70
6729	29
15006	94
3548	35
24084	57
11840	17
13931	48
32439	83
5537	25
2082	2
4833	7
29658	80
13977	84
22386	72
26924	84
5829	12
5097	49
13290	71
22355	22
15574	92
27350	39
21724	28
31107	93
11337	4
27753	81
8909	91
24221	4
24946	34
16413	80
32591	77
17410	97
20537	35
27595	1
24350	90
9374	11
24021	78
19668	42
4734	53
26418	62
3788	48
3728	46
22483	31
14310	52
9514	68
18935	79
5249	56
22798	3
11008	87
14989	79
20485	63
30523	72
9503	75
13458	53
19796	52
19589	93
27157	70
18538	71
24179	10
7958	30
22888	67
16202	8
20055	27
26362	38
28433	74
23844	2
31998	20
10021	43
28476	16
5075	6
2510	96
17861	43
9789	4
5002	81
10285	20
28617	22
30932	28
25721	19
31329	45
21425	51
16549	68
30145	82
3753	80
16279	39
12529	26
19866	21
23195	65
28286	46
16282	32
18114	86
20671	29
4313	14
20053	3
1832	38
27756	41
23646	5
4144	67
7129	40
20450	63
12044	45
26439	83
26154	18
20649	56
4474	45
14018	1
17958	18
3625	15
9314	69
25874	31
11833	93
28297	44
17773	51
2668	22
3102	97
7627	55
30527	100
1924	14
13061	41
27432	32
22725	2
142	52
13064	22
8360	92
14270	82
30833	16
18896	21
12550	39
2695	10
2125	13
22658	42
22466	32
23851	32
28464	10
2800	8
1926	21
32170	14
30227	24
7164	59
17086	73
29577	31
25627	74
25423	38
14962	22
3737	30
32525	52
6202	36
20326	24
6411	95
21520	96
30188	48
20851	78
30900	38
17578	83
11477	89
6439	81
19357	1
5108	4
19801	24
22428	65
19405	76
28704	8
6072	60
14485	53
1626	65
13357	47
23869	71
13022	24
12717	11
24041	82
24229	20
8932	76
12053	95
29734	89
21457	27
2963	82
911	20
22848	29
2223	23
6511	16
21459	49
17870	10
15205	69
17398	59
12193	8
26534	1
10176	51
10548	24
14413	77
24855	12
27611	72
32678	35
28296	48
9313	67
12818	4
14932	34
13169	96
26488	1
19497	64
15145	62
18651	76
11258	32
11192	30
12181	21
23775	4
5997	76
25561	14
29541	71
27813	86
6077	15
8213	55
5601	61
2670	67
4084	76
15498	23
23847	82
21221	39
2363	21
27489	60
25542	44
7591	38
