
0,2019,8,16,0,0,20,'Norwood',32.599998
1,2019,8,16,0,0,40,'Norwood',33.990002
2,2019,8,16,0,0,60,'Norwood',35.349998
3,2019,8,16,0,30,0,'Norwood',34.279999
4,2019,8,16,0,30,20,'Norwood',33.700001
5,2019,8,16,0,30,40,'Norwood',34.880001
6,2019,8,16,0,30,60,'Norwood',34.400002
7,2019,8,16,0,60,0,'Norwood',34.02
8,2019,8,16,0,60,20,'Norwood',34.509998
9,2019,8,16,0,60,40,'Norwood',32.77
10,2019,8,16,0,60,60,'Norwood',32.599998
13,2019,8,16,2,0,40,'Norwood',33.299999
14,2019,8,16,2,0,60,'Norwood',35.240002
24,2019,8,16,4,0,20,'Norwood',36.130001
29,2019,8,16,4,30,40,'Norwood',34.860001
30,2019,8,16,4,30,60,'Norwood',36.02
31,2019,8,16,4,60,0,'Norwood',35.349998
33,2019,8,16,4,60,40,'Norwood',32.970001
36,2019,8,16,6,0,20,'Norwood',31.57
39,2019,8,16,6,30,0,'Norwood',30.24
40,2019,8,16,6,30,20,'Norwood',30.1
41,2019,8,16,6,30,40,'Norwood',31.84
44,2019,8,16,6,60,20,'Norwood',30.51
45,2019,8,16,6,60,40,'Norwood',30.66
51,2019,8,16,8,30,0,'Norwood',27.0
59,2019,8,16,10,0,0,'Norwood',28.84
60,2019,8,16,10,0,20,'Norwood',29.389999
61,2019,8,16,10,0,40,'Norwood',30.620001
62,2019,8,16,10,0,60,'Norwood',30.790001
63,2019,8,16,10,30,0,'Norwood',31.969999
64,2019,8,16,10,30,20,'Norwood',30.219999
65,2019,8,16,10,30,40,'Norwood',29.48
66,2019,8,16,10,30,60,'Norwood',31.190001
67,2019,8,16,10,60,0,'Norwood',32.73
68,2019,8,16,10,60,20,'Norwood',31.66
69,2019,8,16,10,60,40,'Norwood',30.879999
70,2019,8,16,10,60,60,'Norwood',29.99
72,2019,8,16,12,0,20,'Norwood',30.66
73,2019,8,16,12,0,40,'Norwood',31.24
74,2019,8,16,12,0,60,'Norwood',32.57
75,2019,8,16,12,30,0,'Norwood',33.619999
76,2019,8,16,12,30,20,'Norwood',33.060001
77,2019,8,16,12,30,40,'Norwood',33.330002
79,2019,8,16,12,60,0,'Norwood',34.060001
80,2019,8,16,12,60,20,'Norwood',34.84
81,2019,8,16,12,60,40,'Norwood',36.84
82,2019,8,16,12,60,60,'Norwood',36.220001
85,2019,8,16,14,0,40,'Norwood',38.150002
86,2019,8,16,14,0,60,'Norwood',38.02
